State,Number_of_fires,Number_of_acres_burned
Alabama,3923,59030
Alaska,572,496467
Arizona,2288,308245
Arkansas,1513,33371
California,7349,560815
Colorado,1190,129495
Connecticut,268,778
Delaware,0,0
District_of_Columbia,0,0
Florida,3067,74416
Georgia,5086,52119
Hawaii,10,15098
Idaho,630,361649
Illinois,12,133
Indiana,27,620
Iowa,465,21371
Kansas,75,349829
Kentucky,1220,73864
Louisiana,508,7799
Maine,796,946
Maryland,120,242
Massachusetts,1526,1381
Michigan,389,3666
Minnesota,1422,12268
Mississippi,94,8128
Missouri,2610,32134
Montana,2026,114594
Nebraska,45,24498
Nevada,467,265156
New_Hampshire,148,880
New_Jersey,1050,4445
New_Mexico,1240,212425
New_York,196,4236
North_Carolina,4007,88109
North_Dakota,563,4657
Ohio,410,1116
Oklahoma,1938,767780
Oregon,1245,219509
Pennsylvania,871,12245
Puerto_Rico,113,486
Rhode_Island,79,57
South_Carolina,982,3804
South_Dakota,1216,81561
Tennessee,2165,88038
Texas,9300,356680
Utah,1078,101096
Vermont,150,386
Virginia,580,41441
Washington,1272,293717
West_Virginia,18,443
Wisconsin,713,695
Wyoming,711,218077
